abak	áː b a k
liberija	l i b ɛ̀ː r i j a
libidinozen	l i b i d i n óː z ə n
libido	l íː b i d ɔ
libija	l ìː b i j a
lice	l ìː t͡s ɛ
lice	l íː t͡s ɛ
liga	l ìː ɡ a
lijak	l i j àː k
likalnik	l i k áː l n i k
likati	l íː k a t i
limona	l i m óː n a
limonada	l i m ɔ n áː d a
lipa	l ìː p a
lipovec	l ìː p ɔ ʋ ə t͡s
lira	l íː r a
lisica	l i s ìː t͡s a
lisička	l i s ìː t͡ʃ k a
list	l íː s t
liter	l ìː t ə r
literatura	l i t ɛ r a t úː r a
liti	l ìː t i
litij	l ìː t i j
litovec	l ìː t ɔ ʋ ə t͡s
litovka	l ìː t ɔ ʋ k a
litovski	l íː t ɔ ʋ s k i
litovsko	l íː t ɔ ʋ s k ɔ
litovščina	l ìː t ɔ ʋ ʃ t͡ʃ i n a
liturgija	l i t u r ɡ íː j a
litva	l íː t ʋ a
lizati	l i z àː t i
lizati	l ìː z a t i
lizbona	l i z b óː n a
ličinka	l i t͡ʃ íː n k a
ličnica	l íː t͡ʃ n i t͡s a
lišaj	l i ʃ áː j
ljubezen	l j u b éː z ə n
ljubeč	l j u b ɛ́ t͡ʃ
ljubit	l j ùː b i t
ljubiti	l j u b ìː t i
ljubiti	l j u b íː t i
ljubiti	l j ùː b i t i
ljubiti	l j úː b i t i
ljubljana	l j u b l j àː n a
ljubljenje	l j ùː b l j ɛ n j ɛ
ljubljenje	l j úː b l j ɛ n j ɛ
ljubosumen	l j u b ɔ s ùː m ə n
ljubosumnejši	l j u b ɔ s ùː m n ɛ j ʃ i
ljubosumnost	l j u b ɔ s ùː m n ɔ s t
ljudski	l j úː t s k i
lobanja	l ɔ b àː n j a
log	l óː k
lok	l óː k
lokacija	l ɔ k àː t͡s i j a
lokativ	l óː k a t i ʋ
lokomotiva	l ɔ k ɔ m ɔ t íː ʋ a
lom	l ɔ́ m
lombardija	l ɔ m b a r d íː j a
lomiti	l ɔ m ìː t i
lomiti	l ɔ m íː t i
lonec	l ɔ̀ː n ə t͡s
lopata	l ɔ p àː t a
lopov	l óː p ɔ ʋ
lopov	l ɔ́ː p ɔ ʋ
los	l óː s
losos	l óː s ɔ s
lotos	l óː t ɔ s
lovec	l ɔ̀ː ʋ ə t͡s
loviti	l ɔ ʋ ìː t i
loviti	l ɔ ʋ íː t i
lovka	l ɔ́ː ʋ k a
ločevati	l ɔ t͡ʃ ɛ ʋ àː t i
ločiti	l òː t͡ʃ i t i
ločiti	l ɔ t͡ʃ ìː t i
ločiti	l ɔ t͡ʃ íː t i
lubenica	l úː b ɛ n i t͡s a
lubje	l ùː b j ɛ
lug	l ùː k
lug	l úː k
luka	l ùː k a
luknja	l úː k n j a
luksemburg	l úː k s ɛ m b u r k
luksemburški	l u k s ɛ m b úː r ʃ k i
luksemburški	l úː k s ɛ m b u r ʃ k i
lulček	l úː l t͡ʃ ə k
luna	l ùː n a
lunaren	l u n áː r ə n
luska	l ùː s k a
lutecij	l u t èː t͡s i j
luteranec	l u t ɛ r áː n ə t͡s
lutnja	l úː t n j a
luč	l ùː t͡ʃ
luč	l úː t͡ʃ
m	ɛ m
macesen	m a t͡s ɛ̀ː s ə n
madžar	m a d͡ʒ áː r
madžarka	m a d͡ʒ áː r k a
madžarska	m a d͡ʒ áː r s k a
madžarski	m a d͡ʒ áː r s k i
madžarsko	m a d͡ʒ áː r s k ɔ
madžarščina	m a d͡ʒ áː r ʃ t͡ʃ i n a
mafija	m àː f i j a
magnezij	m a ɡ n éː z i j
mah	m áː x
maj	m àː j
maja	m àː j a
majati	m a j àː t i
majati	m àː j a t i
majhen	m áː j x ə n
majoneza	m a j ɔ n éː z a
majorka	m a j óː r k a
mak	m á k
mak	m áː k
makedonec	m a k ɛ d óː n ə t͡s
makedonija	m a k ɛ d òː n i j a
makedonka	m a k ɛ d óː n k a
makedonski	m a k ɛ d óː n s k i
makedonščina	m a k ɛ d óː n ʃ t͡ʃ i n a
maklen	m a k l ɛ́ n
malarija	m a l àː r i j a
maldivi	m a l d íː ʋ i
malezija	m a l èː z i j a
malina	m a l ìː n a
malo	m àː l ɔ
malta	m áː l t a
malte	m áː l t ɛ
malteški	m a l t éː ʃ k i
malteško	m a l t éː ʃ k ɔ
malteščina	m a l t éː ʃ t͡ʃ i n a
maltežan	m a l t ɛ ʒ á n
maltežan	m a l t ɛ ʒ áː n
maltežanka	m a l t ɛ ʒ áː n k a
malti	m áː l t i
malto	m áː l t ɔ
mamilo	m a m ìː l ɔ
mamut	m áː m u t
mandolina	m a n d ɔ l íː n a
mangan	m a n ɡ áː n
manjkati	m áː n k a t i
manjšalnica	m a n ʃ áː l n i t͡s a
manjši	m áː n ʃ i
marec	m àː r ə t͡s
marelica	m a r éː l i t͡s a
marija	m a r íː j a
marjan	m áː r j a n
marko	m àː r k ɔ
maroko	m a r óː k ɔ
mars	m áː r s
masa	m áː s a
maslo	m àː s l ɔ
masturbacija	m a s t u r b àː t͡s i j a
masturbirati	m a s t u r b íː r a t i
matej	m a t ɛ́ː j
matematika	m a t ɛ m àː t i k a
materen	m áː t ɛ r ə n
maternica	m áː t ɛ r n i t͡s a
mati	m àː t i
matica	m áː t i t͡s a
mavec	m àː ʋ ə t͡s
mavretanija	m a ʋ r ɛ t àː n i j a
mavrica	m áː ʋ r i t͡s a
mačeha	m àː t͡ʃ ɛ x a
maček	m àː t͡ʃ ə k
mačka	m áː t͡ʃ k a
maša	m àː ʃ a
me	m éː
med	m éː t
med	m ɛ t
meden	m ɛ d éː n
medenica	m ɛ d ɛ n ìː t͡s a
medicina	m ɛ d i t͡s íː n a
medved	m ɛ̀ː d ʋ ɛ t
medvedka	m ɛ d ʋ éː t k a
megavat	m éː ɡ a ʋ áː t
megla	m ə ɡ l á
megla	m ə̀ ɡ l a
meglica	m ə ɡ l ìː t͡s a
meh	m éː x
mehaničen	m ɛ x àː n i t͡ʃ ə n
mehek	m ɛ̀ː x ə k
mehika	m éː x i k a
mehkužec	m ɛ x k úː ʒ ə t͡s
mehur	m ɛ x ùː r
meja	m ɛ̀ː j a
mejak	m ɛ j àː k
mejiti	m ɛ j ìː t i
mejiti	m ɛ j íː t i
meka	m èː k a
melancana	m ɛ l a n t͡s áː n a
melodija	m ɛ l ɔ d íː j a
mendelevij	m ɛ n d ɛ l èː ʋ i j
menih	m ə n ìː x
menih	m ɛ n ìː x
meniti	m èː n i t i
meniti	m ɛ n ìː t i
meniti	m ɛ n íː t i
menjati	m èː n j a t i
menjati	m ɛ n j àː t i
meriti	m èː r i t i
merjasec	m ɛ r j àː s ə t͡s
merkur	m ɛ r k úː r
mesar	m ɛ s àː r
mesec	m éː s ə t͡s
mesija	m ɛ s íː j a
meso	m ɛ s óː
mesojedec	m ɛ s ɔ j éː d ə t͡s
mesti	m èː s t i
mesti	m ɛ̀ː s t i
mestnik	m éː s t n i k
mesto	m èː s t ɔ
met	m ɛ́ t
meta	m éː t a
metafizika	m ɛ t a f ìː z i k a
metati	m ɛ t àː t i
metež	m éː t ɛ ʃ
meti	m èː t i
metla	m ɛ̀ː t l a
metulj	m ɛ t ùː l
mezeg	m ə z ə́ k
mezeg	m ə̀ z ə k
mezinec	m ɛ z íː n ə t͡s
mezon	m ɛ z óː n
meč	m ɛ́ t͡ʃ
mečji	m éː t͡ʃ j i
mešati	m èː ʃ a t i
mešati	m ɛ ʃ àː t i
mi	m íː
miha	m ìː x a
mihael	m íː x a ɛ l
mihaela	m íː x a ɛ l a
mil	m íː l
milijon	m i l i j óː n
milimeter	m i l i m èː t ə r
milisekunda	m íː l i s ɛ k úː n d a
militi	m ìː l i t i
militi	m íː l i t i
miličnica	m i l íː t͡ʃ n i t͡s a
miličnik	m i l íː t͡ʃ n i k
milo	m ìː l ɔ
mina	m íː n a
mineralogija	m i n ɛ r a l ɔ ɡ íː j a
miniti	m i n ìː t i
miniti	m i n íː t i
minuta	m i n úː t a
mir	m íː r
mirta	m ìː r t a
misel	m íː s ə ʋ
misliti	m ìː s l i t i
miti	m ìː t i
mitologija	m i t ɔ l ɔ ɡ íː j a
mitološki	m i t ɔ l óː ʃ k i
miza	m ìː z a
mizantropija	m i z a n t r ɔ p íː j a
miš	m í ʃ
mišica	m íː ʃ i t͡s a
mišičen	m íː ʃ i t͡ʃ ə n
mišjak	m íː ʃ j a k
miška	m íː ʃ k a
mjanmar	m j a n m áː r
mlad	m l áː t
mladina	m l a d ìː n a
mladič	m l a d í t͡ʃ
mladost	m l a d óː s t
mlajši	m l áː j ʃ i
mleko	m l èː k ɔ
mlesti	m l èː s t i
mleti	m l èː t i
mlečen	m l èː t͡ʃ ə n
mlin	m l íː n
množina	m n ɔ ʒ ìː n a
moder	m òː d ə r
modernizirati	m ɔ d ɛ r n i z íː r a t i
modnik	m óː d n i k
modo	m òː d ɔ
modo	m óː d ɔ
modrec	m óː d r ə t͡s
modrejši	m òː d r ɛ j ʃ i
modrejši	m ɔ d r ɛ́ː j ʃ i
modrost	m òː d r ɔ s t
modrost	m ɔ d r óː s t
mogoče	m ɔ ɡ òː t͡ʃ ɛ
mohamed	m òː x a m ɛ t
mohar	m ɔ̀ː x a r
moj	m òː j
mojzes	m óː j z ɛ s
moka	m òː k a
moker	m òː k ə r
moldavija	m ɔ l d àː ʋ i j a
molekula	m ɔ l éː k u l a
molibden	m ɔ l i b d éː n
molitev	m ɔ l íː t ə ʋ
moliti	m ɔ l ìː t i
moliti	m ɔ l íː t i
molsti	m ɔ̀ː ʋ s t i
molčati	m ɔ ʋ t͡ʃ àː t i
monako	m ɔ n áː k ɔ
monom	m ɔ n óː m
monoteizem	m ɔ n ɔ t ɛ ìː z ə m
morati	m óː r a t i
moravec	m ɔ r àː ʋ ə t͡s
morda	m ɔ r d á
moriti	m ɔ r ìː t i
moriti	m ɔ r íː t i
morje	m óː r j ɛ
morje	m ɔ r j éː
mornarica	m ɔ r n áː r i t͡s a
mornarka	m ɔ r n àː r k a
morski	m ɔ̀ː r s k i
moskva	m óː s k ʋ a
most	m óː s t
motika	m ɔ t íː k a
motor	m óː t ɔ r
moč	m óː t͡ʃ
moča	m òː t͡ʃ a
močerad	m ɔ t͡ʃ ɛ r á t
moči	m ɔ̀ː t͡ʃ i
močvirje	m ɔ t͡ʃ ʋ íː r j ɛ
mošeja	m ɔ ʃ ɛ́ː j a
moški	m ɔ̀ː ʃ k i
mošt	m ɔ́ ʃ t
mož	m óː ʃ
možen	m òː ʒ ə n
možgani	m ɔ ʒ ɡ áː n i
možnar	m òː ʒ n a r
možnost	m òː ʒ n ɔ s t
mravlja	m r àː ʋ l j a
mravlja	m r áː ʋ l j a
mraz	m r á s
mreti	m r èː t i
mreža	m r èː ʒ a
mrhovina	m ə r x ɔ ʋ ìː n a
mrkev	m ə̀ r k ə ʋ
mrkva	m ə̀ r k ʋ a
mrož	m r óː ʃ
mrtev	m ə̀ r t ə ʋ
muditi	m u d ìː t i
muditi	m u d íː t i
muflon	m u f l óː n
muha	m ùː x a
mujezin	m u j ɛ z íː n
mula	m ùː l a
mulj	m úː l
mungo	m úː n ɡ ɔ
murva	m úː r ʋ a
muskularen	m u s k u l áː r ə n
musliman	m u s l i m áː n
muslimanka	m u s l i m áː n k a
muslimanski	m u s l i m áː n s k i
muzej	m u z ɛ́ː j
muzikalen	m u z i k áː l ə n
muzikologija	m u z i k ɔ l ɔ ɡ íː j a
mušnica	m úː ʃ n i t͡s a
na	n a
nad	n a t
nadlegovati	n a d l ɛ ɡ ɔ ʋ àː t i
nadporočnica	n a t p ɔ r óː t͡ʃ n i t͡s a
nadporočnik	n a t p ɔ r óː t͡ʃ n i k
nadzorovati	n a d z ɔ r ɔ ʋ àː t i
naenkrat	n a ɛ̀ː n k r a t
nafta	n áː f t a
nag	n áː k
nagel	n àː ɡ ə ʋ
nagelj	n àː ɡ ə l
naglas	n a ɡ l á s
naglejši	n àː ɡ l ɛ j ʃ i
najabsurdnejši	n á j a p s úː r d n ɛ j ʃ i
najbednejši	n á j b èː d n ɛ j ʃ i
najbelejši	n á j b ɛ l ɛ́ː j ʃ i
najbetežnejši	n á j b ɛ t èː ʒ n ɛ j ʃ i
najbliže	n á j b l íː ʒ ɛ
najbližje	n á j b l íː ʒ j ɛ
najbogatejši	n á j b ɔ ɡ a t ɛ́ː j ʃ i
najbolj	n á j b ɔ l
najbolje	n á j b óː l j ɛ
najboljše	n á j b óː l ʃ ɛ
najboljši	n á j b óː l ʃ i
najbradatejši	n á j b r a d àː t ɛ j ʃ i
najbrihtnejši	n á j b r ìː x t n ɛ j ʃ i
najbudnejši	n á j b ùː d n ɛ j ʃ i
najdalj	n á j d á l
najdaljši	n á j d áː l ʃ i
najdebelejši	n á j d ɛ b ɛ l ɛ́ː j ʃ i
najdejavnejši	n á j d ɛ j àː ʋ n ɛ j ʃ i
najdejavnejši	n á j d ɛ j áː ʋ n ɛ j ʃ i
najdolgočasnejši	n á j d ɔ l ɡ ɔ t͡ʃ àː s n ɛ j ʃ i
najdražji	n á j d r áː ʒ j i
najglasnejši	n á j ɡ l a s n ɛ́ː j ʃ i
najglušji	n á j ɡ l úː ʃ j i
najgrji	n á j ɡ ə́ r j i
najgrozljivejši	n á j ɡ r ɔ z l j ìː ʋ ɛ j ʃ i
najgrši	n á j ɡ ə́ r ʃ i
najhitreje	n á j x i t r ɛ̀ː j ɛ
najhitrejše	n á j x i t r ɛ̀ː j ʃ ɛ
najhujši	n á j x úː j ʃ i
najin	n áː j i n
najjasnejši	n á j j a s n ɛ́ː j ʃ i
najjasnejši	n á j j àː s n ɛ j ʃ i
najjeznejši	n á j j èː z n ɛ j ʃ i
najkrajši	n á j k r áː j ʃ i
najkrutejši	n á j k r ùː t ɛ j ʃ i
najkrutejši	n á j k r úː t ɛ j ʃ i
najlažji	n á j l áː ʒ j i
najlepši	n á j l éː p ʃ i
najljubosumnejši	n á j l j u b ɔ s ùː m n ɛ j ʃ i
najmanjši	n á j m áː n ʃ i
najmečji	n á j m éː t͡ʃ j i
najmlajši	n á j m l áː j ʃ i
najmodrejši	n á j m òː d r ɛ j ʃ i
najmodrejši	n á j m ɔ d r ɛ́ː j ʃ i
najnaglejši	n á j n àː ɡ l ɛ j ʃ i
najnaravnejši	n á j n a r àː ʋ n ɛ j ʃ i
najnepotrpežljivejši	n á j n ɛ́ p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
najneumnejši	n á j n ɛ ùː m n ɛ j ʃ i
najnevarnejši	n á j n ɛ ʋ àː r n ɛ j ʃ i
najobčutljivejši	n á j ɔ p t͡ʃ u t l j ìː ʋ ɛ j ʃ i
najodličnejši	n á j ɔ d l ìː t͡ʃ n ɛ j ʃ i
najokusnejši	n á j ɔ k ùː s n ɛ j ʃ i
najosnovnejši	n á j ɔ s n ɔ́ː ʋ n ɛ j ʃ i
najočitnejši	n á j ɔ t͡ʃ ìː t n ɛ j ʃ i
najožji	n á j óː ʒ j i
najpestrejši	n á j p èː s t r ɛ j ʃ i
najplodnejši	n á j p l òː d n ɛ j ʃ i
najpodlejši	n á j p ɔ̀ː d l ɛ j ʃ i
najpodobnejši	n á j p ɔ d òː b n ɛ j ʃ i
najpodrobnejši	n á j p ɔ d r óː b n ɛ j ʃ i
najpogosteje	n á j p ɔ ɡ óː s t ɛ j ɛ
najpogostejše	n á j p ɔ ɡ óː s t ɛ j ʃ ɛ
najpogumnejši	n á j p ɔ ɡ ùː m n ɛ j ʃ i
najpolnejši	n á j p ɔ̀ː l n ɛ j ʃ i
najpomembnejši	n á j p ɔ m èː m b n ɛ j ʃ i
najpomembnejši	n á j p ɔ m éː m b n ɛ j ʃ i
najpotrebnejši	n á j p ɔ t r èː b n ɛ j ʃ i
najpotrpežljivejši	n á j p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
najpočasneje	n á j p ɔ t͡ʃ a s n ɛ́ː j ɛ
najpočasneje	n á j p ɔ t͡ʃ àː s n ɛ j ɛ
najpravilneje	n á j p r a ʋ íː l n ɛ j ɛ
najpravilnejše	n á j p r a ʋ íː l n ɛ j ʃ ɛ
najpridnejši	n á j p r ìː d n ɛ j ʃ i
najprijaznejši	n á j p r i j àː z n ɛ j ʃ i
najpustejši	n á j p u s t ɛ́ː j ʃ i
najpustejši	n á j p ùː s t ɛ j ʃ i
najranejši	n á j r àː n ɛ j ʃ i
najravnejši	n á j r àː ʋ n ɛ j ʃ i
najrazličnejši	n á j r a z l ìː t͡ʃ n ɛ j ʃ i
najredkejši	n á j r èː t k ɛ j ʃ i
najredkejši	n á j r ɛ t k ɛ́ː j ʃ i
najresničnejši	n á j r ɛ s n ìː t͡ʃ n ɛ j ʃ i
najresničnejši	n á j r ɛ s n íː t͡ʃ n ɛ j ʃ i
najrevnejši	n á j r èː ʋ n ɛ j ʃ i
najskrivnejši	n á j s k r íː ʋ n ɛ j ʃ i
najskrivnostnejši	n á j s k r i ʋ n óː s t n ɛ j ʃ i
najskromnejši	n á j s k r ɔ̀ː m n ɛ j ʃ i
najslabše	n á j s l áː p ʃ ɛ
najslabši	n á j s l áː p ʃ i
najsladejši	n á j s l a d ɛ́ː j ʃ i
najslajši	n á j s l áː j ʃ i
najsmelejši	n á j s m èː l ɛ j ʃ i
najsodobnejši	n á j s ɔ d ɔ̀ː b n ɛ j ʃ i
najsončnejši	n á j s óː n t͡ʃ n ɛ j ʃ i
najsplošnejši	n á j s p l ɔ̀ː ʃ n ɛ j ʃ i
najspodobnejši	n á j s p ɔ d òː b n ɛ j ʃ i
najsrečnejše	n á j s r èː t͡ʃ n ɛ j ʃ ɛ
najsrečnejše	n á j s r ɛ t͡ʃ n ɛ́ː j ʃ ɛ
najsrečnejši	n á j s r èː t͡ʃ n ɛ j ʃ i
najsrečnejši	n á j s r ɛ t͡ʃ n ɛ́ː j ʃ i
najstarejši	n á j s t a r ɛ́ː j ʃ i
najstrastnejši	n á j s t r àː s t n ɛ j ʃ i
najsvobodnejši	n á j s ʋ ɔ b ɔ̀ː d n ɛ j ʃ i
najtežji	n á j t éː ʒ j i
najti	n àː j t i
najtrši	n á j t ə́ r ʃ i
najusodnejši	n á j u s òː d n ɛ j ʃ i
najustreznejši	n á j u s t r èː z n ɛ j ʃ i
najvarnejši	n á j ʋ àː r n ɛ j ʃ i
največ	n á j ʋ ɛ t͡ʃ
največ	n á j ʋ ɛ́ t͡ʃ
največji	n á j ʋ éː t͡ʃ j i
najvišji	n á j ʋ íː ʃ j i
najzanimivejši	n á j z a n i m ìː ʋ ɛ j ʃ i
najznačilnejši	n á j z n a t͡ʃ íː l n ɛ j ʃ i
najzrelejši	n á j z r èː l ɛ j ʃ i
najzrelejši	n á j z r ɛ l ɛ́ː j ʃ i
najživahnejši	n á j ʒ i ʋ àː x n ɛ j ʃ i
naključje	n a k l j úː t͡ʃ j ɛ
namenilnik	n a m ɛ n íː l n i k
namera	n a m éː r a
namibija	n a m ìː b i j a
namigovati	n a m i ɡ ɔ ʋ àː t i
nanašati	n a n áː ʃ a t i
nanositi	n a n ɔ s ìː t i
nanositi	n a n ɔ s íː t i
napad	n a p á t
napaka	n a p áː k a
napačen	n a p áː t͡ʃ ə n
napačen	n áː p a t͡ʃ ə n
napisati	n a p i s àː t i
napisati	n a p ìː s a t i
naprava	n a p r áː ʋ a
narava	n a r áː ʋ a
naraven	n a r àː ʋ ə n
naravnejši	n a r àː ʋ n ɛ j ʃ i
naravnost	n a r àː ʋ n ɔ s t
narediti	n a r ɛ d ìː t i
narediti	n a r ɛ d íː t i
narečje	n a r éː t͡ʃ j ɛ
narod	n àː r ɔ t
naslednji	n a s l éː d n j i
nasmeh	n a s m éː x
nasmeh	n a s m ɛ́ x
nasmehniti	n a s m èː x n i t i
nastati	n a s t àː t i
nasvidenje	n a s ʋ íː d ɛ n j ɛ
nataša	n a t áː ʃ a
natrij	n àː t r i j
navada	n a ʋ áː d a
navdih	n a ʋ d íː x
nazaj	n a z àː j
načelo	n a t͡ʃ ɛ̀ː l ɔ
načeti	n a t͡ʃ èː t i
načrt	n a t͡ʃ ə́ r t
naš	n á ʃ
ne	n ɛ
ne	n ɛ́
neapelj	n ɛ àː p ə l
nebesa	n ɛ b èː s a
nebo	n ɛ b óː
nebotičnik	n ɛ b ɔ t íː t͡ʃ n i k
nedelja	n ɛ d èː l j a
nedoločnik	n ɛ́ d ɔ l òː t͡ʃ n i k
nedoločnik	n ɛ́ d ɔ l óː t͡ʃ n i k
nedovršen	n ɛ́ d ɔ ʋ ə́ r ʃ ə n
nehati	n éː x a t i
nehemija	n ɛ x ɛ m íː j a
nekaj	n èː k a j
nekaj	n éː k a j
nekam	n èː k a m
nekdo	n éː ɡ d ɔ
nekdo	n ɛ ɡ d òː
nekdo	n ɛ ɡ d óː
nekje	n ɛ k j èː
nekje	n ɛ k j éː
nekrofilija	n ɛ k r ɔ f i l íː j a
nekropola	n ɛ k r óː p ɔ l a
nem	n éː m
nemec	n èː m ə t͡s
nemka	n èː m k a
nemogoč	n ɛ́ m ɔ ɡ òː t͡ʃ
nemčija	n éː m t͡ʃ i j a
nemški	n èː m ʃ k i
nemško	n èː m ʃ k ɔ
nemščina	n èː m ʃ t͡ʃ i n a
neodim	n ɛ ɔ d íː m
neodvisen	n ɛ́ ɔ d ʋ ìː s ə n
neon	n éː ɔ n
neposreden	n ɛ́ p ɔ s r éː d ə n
neposredno	n ɛ́ p ɔ s r éː d n ɔ
nepotrpežljiv	n ɛ́ p ɔ t ə r p ɛ ʒ l j ìː ʋ
nepotrpežljiv	n ɛ́ p ɔ t ə r p ɛ ʒ l j íː ʋ
nepotrpežljivejši	n ɛ́ p ɔ t ə r p ɛ ʒ l j ìː ʋ ɛ j ʃ i
nepredvidljiv	n ɛ́ p r ɛ d ʋ i d l j ìː ʋ
nepredvidljiv	n ɛ́ p r ɛ d ʋ i d l j íː ʋ
neptun	n ɛ p t úː n
neptunij	n ɛ p t ùː n i j
nesti	n ɛ̀ː s t i
netopir	n ɛ t ɔ p ìː r
netopir	n ɛ t ɔ p íː r
neumen	n ɛ ùː m ə n
neumnejši	n ɛ ùː m n ɛ j ʃ i
nevaren	n ɛ ʋ àː r ə n
nevarnejši	n ɛ ʋ àː r n ɛ j ʃ i
nevihta	n ɛ ʋ íː x t a
nečak	n ɛ t͡ʃ àː k
nečakinja	n ɛ t͡ʃ àː k i n j a
nihče	n i x t͡ʃ ɛ́
nihče	n íː x t͡ʃ ɛ
nikelj	n ìː k ə l
nikolaj	n i k ɔ l áː j
nikoli	n i k óː l i
niobij	n i j òː b i j
nit	n í t
nizek	n ìː z ə k
nizozemec	n i z ɔ z éː m ə t͡s
nizozemka	n i z ɔ z éː m k a
nizozemska	n i z ɔ z éː m s k a
nizozemski	n i z ɔ z éː m s k i
nizozemsko	n i z ɔ z éː m s k ɔ
nizozemščina	n i z ɔ z éː m ʃ t͡ʃ i n a
nič	n í t͡ʃ
niša	n ìː ʃ a
niša	n íː ʃ a
njegov	n j ɛ ɡ ɔ̀ː ʋ
njegov	n j ɛ ɡ ɔ́ ʋ
njen	n j èː n
njihov	n j ìː x ɔ ʋ
njihov	n j íː x ɔ ʋ
njun	n j ùː n
nlp	n ə l ə p ə́
nobelij	n ɔ b èː l i j
nocoj	n ɔ t͡s òː j
noga	n ɔ̀ː ɡ a
nogavica	n ɔ ɡ a ʋ ìː t͡s a
nogomet	n ɔ ɡ ɔ m ɛ́ t
noht	n óː x t
noj	n óː j
noj	n ɔ́ j
nominativ	n óː m i n a t i ʋ
nor	n ɔ́ r
norveška	n ɔ r ʋ éː ʃ k a
norveški	n ɔ r ʋ éː ʃ k i
norveško	n ɔ r ʋ éː ʃ k ɔ
norveščina	n ɔ r ʋ éː ʃ t͡ʃ i n a
norvežan	n ɔ r ʋ ɛ ʒ á n
norvežan	n ɔ r ʋ ɛ ʒ áː n
norvežanka	n ɔ r ʋ ɛ ʒ áː n k a
nos	n óː s
nosilec	n ɔ s íː l ə t͡s
nositi	n ɔ s ìː t i
nositi	n ɔ s íː t i
nosorog	n ɔ s ɔ r óː k
nota	n óː t a
noter	n òː t ɛ r
noter	n óː t ɛ r
notri	n òː t r i
notri	n óː t r i
nov	n ɔ́ ʋ
novak	n ɔ ʋ àː k
november	n ɔ ʋ ɛ̀ː m b ə r
novina	n ɔ ʋ ìː n a
novinec	n ɔ ʋ íː n ə t͡s
noč	n óː t͡ʃ
nož	n ɔ́ ʃ
nuna	n ùː n a
o	ɔ
obed	ɔ b ɛ́ t
obesiti	ɔ b èː s i t i
obiskati	ɔ b i s k àː t i
obiskovati	ɔ b i s k ɔ ʋ àː t i
objaviti	ɔ b j àː ʋ i t i
objem	ɔ b j ɛ́ m
objeti	ɔ b j èː t i
oblak	ɔ b l áː k
oblast	ɔ b l áː s t
obleka	ɔ b l éː k a
oblika	ɔ b l íː k a
oblikosloven	ɔ b l i k ɔ s l ɔ́ː ʋ ə n
oblikoslovje	ɔ b l i k ɔ s l ɔ́ː ʋ j ɛ
obljuba	ɔ b l j úː b a
obljubiti	ɔ b l j u b ìː t i
obljubiti	ɔ b l j u b íː t i
obljubiti	ɔ b l j ùː b i t i
obljubiti	ɔ b l j úː b i t i
obmodek	ɔ b m óː d ə k
oboa	óː b ɔ a
obramba	ɔ b r áː m b a
obraniti	ɔ b r a n ìː t i
obraniti	ɔ b r a n íː t i
obraz	ɔ b r á s
obrazen	ɔ b r áː z ə n
obrazilo	ɔ b r a z ìː l ɔ
obrezovanje	ɔ b r ɛ z ɔ ʋ àː n j ɛ
obrv	ɔ b ə́ r ʋ
obsedenost	ɔ p s éː d ɛ n ɔ s t
obsečnica	ɔ p s éː t͡ʃ n i t͡s a
obuti	ɔ b ùː t i
občinstvo	ɔ p t͡ʃ íː n s t ʋ ɔ
občutljiv	ɔ p t͡ʃ u t l j ìː ʋ
občutljiv	ɔ p t͡ʃ u t l j íː ʋ
občutljivejši	ɔ p t͡ʃ u t l j ìː ʋ ɛ j ʃ i
od	ɔ t
oddajnik	ɔ d d áː j n i k
odeja	ɔ d ɛ́ː j a
oder	òː d ə r
odgovor	ɔ d ɡ ɔ́ː ʋ ɔ r
odgovoriti	ɔ d ɡ ɔ ʋ ɔ r ìː t i
odgovoriti	ɔ d ɡ ɔ ʋ ɔ r íː t i
oditi	ɔ d ìː t i
odjaviti	ɔ d j àː ʋ i t i
odličen	ɔ d l ìː t͡ʃ ə n
odličnejši	ɔ d l ìː t͡ʃ n ɛ j ʃ i
odločba	ɔ d l óː d͡ʒ b a
odnos	ɔ d n ɔ́ s
odpreti	ɔ t p r èː t i
odprt	ɔ t p ə́ r t
odrešenik	ɔ d r ɛ ʃ ɛ n ìː k
odvisen	ɔ d ʋ ìː s ə n
odvreti	ɔ d ʋ r èː t i
ogel	òː ɡ ə ʋ
ogel	óː ɡ ə ʋ
ogenj	ɔ̀ː ɡ ə n
oglas	ɔ ɡ l á s
ogledalo	ɔ ɡ l ɛ d àː l ɔ
ogljik	ɔ ɡ l j íː k
ognjenik	ɔ ɡ n j ɛ n ìː k
ogor	óː ɡ ɔ r
ogor	ɔ ɡ óː r
ograja	ɔ ɡ r àː j a
ograja	ɔ ɡ r áː j a
ogroziti	ɔ ɡ r ɔ z ìː t i
ogroziti	ɔ ɡ r ɔ z íː t i
ogrožati	ɔ ɡ r òː ʒ a t i
ogrska	òː ɡ ə r s k a
ogrska	óː ɡ ə r s k a
oje	ɔ j éː
okarina	ɔ k a r íː n a
oklepaj	ɔ k l ɛ p áː j
okno	ɔ̀ː k n ɔ
oko	ɔ k óː
okopati	ɔ k òː p a t i
okopati	ɔ k ɔ p àː t i
okopavati	ɔ k ɔ p áː ʋ a t i
okostje	ɔ k óː s t j ɛ
okrogel	ɔ k r òː ɡ ə ʋ
